Date;PX_ASK;PX_BID
30.12.2021;70195;69695
29.12.2021;70185;69685
24.12.2021;70205;69705
23.12.2021;70205;69705
22.12.2021;70195;69695
21.12.2021;70200;69700
20.12.2021;70195;69695
17.12.2021;70210;69710
16.12.2021;69525;69025
15.12.2021;69520;69020
14.12.2021;69520;69020
13.12.2021;69515;69015
10.12.2021;69525;69025
09.12.2021;69530;69030
08.12.2021;69495;68995
07.12.2021;69000;40100
06.12.2021;66725;40100
03.12.2021;67195;40100
02.12.2021;65850;66750
01.12.2021;65495;40100
30.11.2021;64190;65500
29.11.2021;62840;62340
26.11.2021;62850;62350
25.11.2021;62850;62350
24.11.2021;62845;62345
23.11.2021;62190;61690
22.11.2021;61240;60740
19.11.2021;61260;60760
18.11.2021;61255;40100
17.11.2021;61200;40100
16.11.2021;59200;58700
15.11.2021;59200;58700
12.11.2021;59215;58715
11.11.2021;59210;58710
10.11.2021;59200;58700
09.11.2021;59205;58705
08.11.2021;59200;58700
05.11.2021;59215;58715
04.11.2021;58210;57710
03.11.2021;56245;59000
02.11.2021;56240;57500
01.11.2021;56245;55745
29.10.2021;56260;55760
28.10.2021;56255;55755
27.10.2021;56245;55745
26.10.2021;56200;55700
25.10.2021;56200;55700
22.10.2021;56220;55720
21.10.2021;56110;55610
20.10.2021;56100;55600
19.10.2021;56100;55600
18.10.2021;56100;40100
15.10.2021;56070;55570
14.10.2021;55870;55370
13.10.2021;55065;54565
12.10.2021;52950;52450
11.10.2021;56000;40100
08.10.2021;52965;52465
07.10.2021;52965;52465
06.10.2021;52960;52460
05.10.2021;52960;52460
04.10.2021;52965;52465
01.10.2021;52980;52480
30.09.2021;52980;52480
29.09.2021;56200;52475
28.09.2021;54000;40100
27.09.2021;52970;40100
24.09.2021;52990;52490
23.09.2021;54000;40100
22.09.2021;52985;40100
21.09.2021;52990;40100
20.09.2021;52990;52950
17.09.2021;51120;53000
16.09.2021;51120;50620
15.09.2021;51115;50615
14.09.2021;51120;51000
13.09.2021;51125;50625
10.09.2021;53500;40100
09.09.2021;51140;50640
08.09.2021;50480;49980
07.09.2021;50480;49980
06.09.2021;50485;49985
03.09.2021;#N/A N/A;40100
02.09.2021;#N/A N/A;40100
01.09.2021;#N/A N/A;50500
