Date;Close Price;;;;;
11/11/16;29250;;;;;
11/10/16;29050;;;;;
11/9/16;29000;;;;;
11/8/16;28900;;;;;
11/7/16;28750;;;;;
11/4/16;28750;;;;;
11/3/16;28550;;;;;
11/2/16;28250;;;;;
11/1/16;28235;;;;;
10/31/16;28537;;;;;
10/28/16;28244;;;;;
10/27/16;28494;;;;;
10/26/16;28146;;;;;
10/25/16;28648;;;;;
10/24/16;28500;;;;;
10/21/16;28000;;;;;
10/20/16;28250;;;;;
10/19/16;28250;;;;;
10/18/16;28250;;;;;
10/17/16;28000;;;;;
10/14/16;28250;;;;;
10/13/16;28250;;;;;
10/12/16;28500;;;;;
10/11/16;28500;;;;;
10/10/16;28250;;;;;
10/7/16;28250;;;;;
10/6/16;28250;;;;;
10/5/16;27750;;;;;
10/4/16;27750;;;;;
10/3/16;27250;;;;;
9/30/16;27500;;;;;
9/29/16;27250;;;;;
9/28/16;27250;;;;;
9/27/16;27250;;;;;
9/26/16;27250;;;;;
9/23/16;27250;;;;;
9/22/16;26750;;;;;
9/21/16;27000;;;;;
9/20/16;26750;;;;;
9/19/16;26750;;;;;
9/16/16;26750;;;;;
9/15/16;26750;;;;;
9/14/16;26750;;;;;
9/13/16;26750;;;;;
9/12/16;26750;;;;;
9/9/16;26500;;;;;
9/8/16;26250;;;;;
9/7/16;26000;;;;;
9/6/16;25500;;;;;
9/5/16;25750;;;;;
9/2/16;25750;;;;;
9/1/16;25250;;;;;
8/31/16;26250;;;;;
8/30/16;26000;;;;;
8/26/16;26000;;;;;
8/25/16;26000;;;;;
8/24/16;26000;;;;;
8/23/16;26000;;;;;
8/22/16;26250;;;;;
8/19/16;26500;;;;;
8/18/16;26500;;;;;
8/17/16;26500;;;;;
8/16/16;26500;;;;;
8/15/16;26250;;;;;
8/12/16;26250;;;;;
8/11/16;26500;;;;;
8/10/16;26500;;;;;
8/9/16;26200;;;;;
8/8/16;26575;;;;;
8/5/16;26250;;;;;
8/4/16;26250;;;;;
8/3/16;26500;;;;;
8/2/16;26500;;;;;
8/1/16;26250;;;;;
7/29/16;26250;;;;;
7/28/16;25800;;;;;
7/27/16;25500;;;;;
7/26/16;25650;;;;;
7/25/16;25600;;;;;
7/22/16;25500;;;;;
7/21/16;25250;;;;;
7/20/16;25248;;;;;
7/19/16;25250;;;;;
7/18/16;25250;;;;;
7/15/16;25750;;;;;
7/14/16;25250;;;;;
7/13/16;25250;;;;;
7/12/16;24750;;;;;
7/11/16;24750;;;;;
7/8/16;24750;;;;;
7/7/16;24450;;;;;
7/6/16;24133,5;;;;;
7/5/16;24135;;;;;
7/4/16;24136,5;;;;;
7/1/16;24143;;;;;
6/30/16;23693;;;;;
6/29/16;23644,5;;;;;
6/28/16;23646,5;;;;;
6/27/16;23648;;;;;
6/24/16;23654,5;;;;;
