Date,XLIX5,XLIJ5,diff,diff_ma5
2025-02-20,11.24,10.71,0.5299999999999994,0.565999999999999
2025-02-21,11.24,10.68,0.5600000000000005,0.559999999999999
2025-02-24,11.24,10.49,0.75,0.5939999999999994
2025-02-25,11.16,10.56,0.5999999999999996,0.5979999999999996
2025-02-26,11.13,10.53,0.6000000000000014,0.6080000000000002
2025-02-27,11.14,10.51,0.6300000000000008,0.6280000000000004
2025-02-28,10.9,10.45,0.45000000000000107,0.6060000000000005
2025-03-03,10.86,10.34,0.5199999999999996,0.5600000000000005
2025-03-04,10.81,10.35,0.46000000000000085,0.5320000000000007
2025-03-05,10.77,10.26,0.5099999999999998,0.5140000000000005
2025-03-06,10.92,10.2,0.7200000000000006,0.5320000000000004
2025-03-07,10.93,10.33,0.5999999999999996,0.562
2025-03-10,11.0,10.46,0.5399999999999991,0.5660000000000001
2025-03-11,11.03,10.43,0.5999999999999996,0.5939999999999998
2025-03-12,11.01,10.6,0.41000000000000014,0.5739999999999998
2025-03-13,10.97,10.45,0.5200000000000014,0.534
2025-03-14,10.95,10.5,0.4499999999999993,0.5039999999999999
2025-03-17,11.05,10.48,0.5700000000000003,0.5100000000000001
2025-03-18,11.02,10.24,0.7799999999999994,0.546
2025-03-19,10.98,10.24,0.7400000000000002,0.6120000000000001
2025-03-20,10.89,10.18,0.7100000000000009,0.65
2025-03-21,10.86,10.05,0.8099999999999987,0.7219999999999999
2025-03-24,11.01,9.74,1.2699999999999996,0.8619999999999998
2025-03-25,10.98,9.75,1.2300000000000004,0.952
2025-03-26,10.98,9.77,1.2100000000000009,1.046
2025-03-27,10.85,9.77,1.08,1.1199999999999999
2025-03-28,11.14,9.95,1.1900000000000013,1.1960000000000004
2025-03-31,11.17,10.01,1.1600000000000001,1.1740000000000006
2025-04-01,11.12,9.4,1.7199999999999989,1.2720000000000002
2025-04-02,10.9,9.35,1.5500000000000007,1.3400000000000003
2025-04-03,10.63,9.35,1.2800000000000011,1.3800000000000003
2025-04-04,10.6,9.35,1.25,1.3920000000000001
2025-04-07,10.53,9.35,1.1799999999999997,1.3960000000000001
2025-04-08,10.67,9.35,1.3200000000000003,1.3160000000000003
2025-04-09,10.59,9.35,1.2400000000000002,1.2540000000000002
2025-04-10,10.62,9.52,1.0999999999999996,1.218
2025-04-11,10.5,9.5,1.0,1.168
2025-04-14,10.5,9.29,1.2100000000000009,1.1740000000000002
2025-04-15,10.6,9.28,1.3200000000000003,1.1740000000000002
2025-04-16,10.58,9.26,1.3200000000000003,1.1900000000000002
2025-04-17,10.51,9.25,1.2599999999999998,1.2220000000000002
2025-04-18,10.51,9.23,1.2799999999999994,1.278
2025-04-21,10.6,9.23,1.3699999999999992,1.3099999999999998
2025-04-22,9.95,9.23,0.7199999999999989,1.1899999999999995
2025-04-23,10.22,9.22,1.0,1.1259999999999994
2025-04-24,10.15,9.41,0.7400000000000002,1.0219999999999996
2025-04-25,9.9,9.41,0.4900000000000002,0.8639999999999997
2025-04-28,10.01,9.18,0.8300000000000001,0.7559999999999999
2025-04-29,9.54,9.39,0.14999999999999858,0.6419999999999998
2025-04-30,9.43,9.12,0.3100000000000005,0.5039999999999999
