Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2018-12-05,49280.0,-510,-1%,49 600,49 040,49 660,16 850,49 320,49 380
2018-12-06,49080.0,-200,-0%,49 250,49 000,49 310,12 615,49 030,49 050
2018-12-07,49120.0,+40,+0%,49 030,48 800,49 270,10 575,49 210,49 260
2018-12-10,49030.0,-90,-0%,49 260,48 950,49 270,9 350,48 950,48 990
2018-12-11,49090.0,+60,+0%,48 920,48 860,49 180,11 625,49 080,49 100
2018-12-12,49170.0,+80,+0%,49 250,49 080,49 440,8 800,49 060,49 140
2018-12-13,49200.0,+30,+0%,49 060,49 000,49 330,7 730,49 280,49 320
2018-12-14,49070.0,-130,-0%,49 310,48 910,49 330,4 450,48 900,48 910
2018-12-17,49050.0,-20,-0%,48 940,48 900,49 170,1 820,48 730,49 200
2018-12-18,48970.0,-80,-0%,49 100,48 850,49 160,33 062,48 900,48 910
2018-12-19,48360.0,-610,-1%,48 750,48 100,48 760,46 883,48 110,48 120
2018-12-20,48160.0,-200,-0%,48 150,47 800,48 460,33 253,48 250,48 280
2018-12-21,48320.0,+160,+0%,48 500,48 210,48 600,23 587,48 400,48 410
2018-12-24,48210.0,-110,-0%,48 290,48 070,48 500,20 852,48 120,48 130
2018-12-25,47880.0,-330,-1%,48 070,47 530,48 180,28 022,47 980,48 000
2018-12-26,47970.0,+90,+0%,47 940,47 850,48 080,15 959,48 030,48 050
2018-12-27,48400.0,+430,+1%,48 390,48 170,48 630,19 071,48 260,48 290
2018-12-28,48190.0,-210,-0%,48 240,47 980,48 360,17 506,48 200,48 430
2019-01-02,47870.0,-320,-1%,47 950,47 670,48 130,13 360,47 640,47 690
2019-01-03,47280.0,-590,-1%,47 390,47 050,47 480,16 490,47 320,47 370
2019-01-04,46830.0,-450,-1%,47 320,46 330,47 370,15 720,47 120,47 230
2019-01-07,47380.0,+550,+1%,47 250,46 880,47 680,12 660,47 420,47 470
2019-01-08,47350.0,-30,-0%,47 450,47 250,47 470,9 805,47 330,47 360
2019-01-09,47600.0,+250,+1%,47 400,47 280,47 750,8 745,47 590,47 660
2019-01-10,47460.0,-140,-0%,47 680,47 400,47 700,9 500,47 450,47 500
2019-01-11,47180.0,-280,-1%,47 280,47 000,47 290,8 100,47 270,47 300
2019-01-14,47000.0,-180,-0%,47 100,46 760,47 210,6 035,46 800,46 860
2019-01-15,46880.0,-120,-0%,46 750,46 700,47 060,1 605,46 800,47 000
2019-01-16,47170.0,+290,+1%,46 930,46 900,47 410,36 399,47 390,47 400
2019-01-17,47360.0,+190,+0%,47 370,47 220,47 470,25 160,47 350,47 370
2019-01-18,47670.0,+310,+1%,47 300,47 220,47 850,33 245,47 800,47 820
2019-01-21,47870.0,+200,+0%,47 850,47 630,48 230,31 761,47 730,47 770
2019-01-22,47570.0,-300,-1%,47 630,47 480,47 790,20 308,47 500,47 520
2019-01-23,47470.0,-100,-0%,47 540,47 310,47 640,19 489,47 480,47 520
2019-01-24,47350.0,-120,-0%,47 430,47 260,47 570,18 544,47 300,47 310
2019-01-25,47300.0,-50,-0%,47 260,47 100,47 450,15 711,47 340,47 360
2019-01-28,47590.0,+290,+1%,47 230,47 150,47 840,22 048,47 450,47 490
2019-01-29,47420.0,-170,-0%,47 480,47 320,47 580,10 671,47 450,47 480
2019-01-30,47630.0,+210,+0%,47 470,47 470,47 820,12 551,47 550,47 590
2019-01-31,47890.0,+260,+1%,47 760,47 600,48 030,12 608,47 850,47 950
2019-02-01,47930.0,+40,+0%,47 850,47 790,48 150,9 500,48 050,48 100
2019-02-11,48150.0,+220,+0%,48 430,47 570,48 430,10 875,47 950,48 000
2019-02-12,48050.0,-100,-0%,48 000,47 520,48 240,11 610,47 880,47 900
2019-02-13,47870.0,-180,-0%,47 800,47 660,47 920,6 340,47 910,48 060
2019-02-14,47970.0,+100,+0%,47 820,47 810,48 150,5 490,48 080,48 110
2019-02-15,48000.0,+30,+0%,48 200,47 840,48 200,2 990,47 520,47 980
2019-02-18,48650.0,+650,+1%,48 400,48 290,49 070,52 348,49 020,49 050
2019-02-19,49130.0,+480,+1%,49 050,48 980,49 280,36 567,49 170,49 180
2019-02-20,49420.0,+290,+1%,49 120,49 060,49 610,35 550,49 510,49 520
2019-02-21,49570.0,+150,+0%,49 510,49 350,49 840,36 181,49 480,49 500
2019-02-22,49530.0,-40,-0%,49 550,49 380,49 740,25 106,49 700,49 740
2019-02-25,50110.0,+580,+1%,50 100,49 920,50 430,37 128,50 300,50 340
2019-02-26,49950.0,-160,-0%,50 270,49 800,50 270,26 517,49 980,50 020
2019-02-27,49960.0,+10,+0%,49 970,49 810,50 080,19 968,49 900,49 930
2019-02-28,50050.0,+90,+0%,50 010,49 860,50 250,21 482,49 860,50 010
2019-03-01,50030.0,-20,-0%,50 070,49 940,50 360,16 711,50 320,50 450
2019-03-04,50060.0,+30,+0%,50 370,49 860,50 580,21 500,49 860,49 880
2019-03-05,49960.0,-100,-0%,49 790,49 530,50 260,36 625,49 920,49 970
2019-03-06,49920.0,-40,-0%,50 020,49 840,50 110,14 335,49 920,49 950
2019-03-07,49870.0,-50,-0%,49 960,49 680,50 130,19 850,49 650,49 710
2019-03-08,49710.0,-160,-0%,49 710,49 600,49 800,11 785,49 590,49 720
2019-03-11,49650.0,-60,-0%,49 520,49 420,49 790,15 590,49 760,49 790
2019-03-12,49820.0,+170,+0%,49 720,49 570,50 000,12 775,49 980,50 000
2019-03-13,49920.0,+100,+0%,50 060,49 840,50 140,10 950,49 930,49 960
2019-03-14,49920.0,0,0%,50 020,49 800,50 120,8 980,49 850,49 900
2019-03-15,49660.0,-260,-1%,49 620,49 500,50 210,7 950,49 900,52 210
2019-03-18,49090.0,-570,-1%,49 000,48 830,49 310,48 560,49 190,49 210
2019-03-19,49100.0,+10,+0%,49 300,48 990,49 300,44 290,49 150,49 170
2019-03-20,49110.0,+10,+0%,49 210,49 020,49 320,30 749,49 050,49 080
2019-03-21,49200.0,+90,+0%,49 030,48 970,49 310,34 776,49 270,49 280
2019-03-22,48900.0,-300,-1%,49 100,48 800,49 150,36 464,48 800,48 820
2019-03-25,48260.0,-640,-1%,48 480,48 000,48 620,43 512,48 010,48 020
2019-03-26,48140.0,-120,-0%,48 100,48 030,48 270,21 594,48 130,48 150
2019-03-27,48270.0,+130,+0%,48 190,48 120,48 370,19 828,48 280,48 290
2019-03-28,48240.0,-30,-0%,48 290,48 030,48 320,14 575,48 250,48 260
2019-03-29,48540.0,+300,+1%,48 350,48 280,48 740,17 289,48 660,48 670
2019-04-01,49200.0,+660,+1%,49 010,48 970,49 330,19 710,49 310,49 330
2019-04-02,49120.0,-80,-0%,49 260,48 940,49 300,22 030,49 100,49 150
2019-04-03,49150.0,+30,+0%,49 130,48 900,49 420,18 145,49 350,49 390
2019-04-04,49390.0,+240,+0%,49 290,49 150,49 530,14 555,49 390,49 410
2019-04-08,49180.0,-210,-0%,49 020,49 000,49 280,17 295,49 130,49 140
2019-04-09,49350.0,+170,+0%,49 250,49 200,49 680,19 635,49 630,49 700
2019-04-10,49360.0,+10,+0%,49 610,49 280,49 700,17 640,49 360,49 370
2019-04-11,49160.0,-200,-0%,49 370,49 020,49 370,13 425,49 020,49 090
2019-04-12,48980.0,-180,-0%,48 940,48 870,49 120,9 630,49 050,49 080
2019-04-15,49300.0,+320,+1%,49 350,49 020,49 520,5 620,49 220,49 280
2019-04-16,49360.0,+60,+0%,49 310,49 140,49 580,41 266,49 430,49 450
2019-04-17,49480.0,+120,+0%,49 450,49 320,49 630,42 728,49 460,49 480
2019-04-18,49630.0,+150,+0%,49 770,49 410,49 990,45 241,49 450,49 460
2019-04-19,49380.0,-250,-1%,49 250,49 160,49 520,24 607,49 490,49 500
2019-04-22,49350.0,-30,-0%,49 620,49 120,49 620,31 003,49 230,49 240
2019-04-23,49150.0,-200,-0%,49 100,49 070,49 270,28 866,49 160,49 170
2019-04-24,49000.0,-150,-0%,49 080,48 860,49 120,35 433,48 940,48 960
2019-04-25,49190.0,+190,+0%,49 050,49 000,49 310,27 771,49 110,49 150
2019-04-26,48850.0,-340,-1%,48 950,48 750,48 950,29 101,48 910,48 920
2019-04-29,48840.0,-10,-0%,48 920,48 760,48 980,20 292,48 790,48 810
2019-04-30,48880.0,+40,+0%,48 830,48 730,48 990,18 343,48 880,48 910
2019-05-06,47890.0,-990,-2%,47 230,47 230,48 070,22 658,48 000,48 010
2019-05-07,48300.0,+410,+1%,48 020,47 990,48 420,15 345,48 280,48 350
2019-05-08,47890.0,-410,-1%,48 300,47 760,48 300,18 825,47 780,47 860
2019-05-09,47570.0,-320,-1%,47 650,47 520,47 850,17 405,47 540,47 550
2019-05-10,47810.0,+240,+1%,47 540,47 360,48 010,16 275,47 760,47 860
2019-05-13,47590.0,-220,-0%,47 710,47 530,47 850,13 085,47 520,47 560
2019-05-14,47430.0,-160,-0%,47 550,47 300,47 550,10 060,47 370,47 380
2019-05-15,47480.0,+50,+0%,47 390,47 330,47 630,5 890,47 550,47 750
2019-05-16,47730.0,+250,+1%,47 550,47 510,47 860,32 338,47 770,47 780
2019-05-17,47820.0,+90,+0%,48 010,47 490,48 110,32 308,47 630,47 640
2019-05-20,47700.0,-120,-0%,47 740,47 580,47 840,26 280,47 620,47 640
2019-05-21,47700.0,0,0%,47 580,47 530,47 780,32 846,47 680,47 690
2019-05-22,47340.0,-360,-1%,47 600,47 100,47 630,44 145,47 120,47 130
2019-05-23,46750.0,-590,-1%,47 000,46 550,47 060,34 909,46 680,46 710
2019-05-24,46950.0,+200,+0%,46 670,46 530,47 170,29 651,47 120,47 130
2019-05-27,47110.0,+160,+0%,47 060,46 990,47 280,25 590,47 240,47 250
2019-05-28,47190.0,+80,+0%,47 210,47 070,47 290,18 787,47 080,47 120
