date,ATKLICAR,ATKLIOH,INOLIRLCAIGRCND,INOLIRLHYBGRCND,SLICFc1,SLIHFc1,SMM-LIB-GRD,SMM-LICB-BG,TLCc1
2023-07-27,282500.0,265000.0,26.9,26.4,39.64,43.06,,280500.0,39.83
2023-07-28,282500.0,265000.0,26.7,26.2,39.64,43.06,1900000.0,278500.0,39.74
2023-07-31,275000.0,260000.0,26.5,26.0,39.66,43.08,,277500.0,39.66
2023-08-01,275000.0,260000.0,26.3,25.7,39.91,44.56,,274000.0,38.08
2023-08-02,275000.0,260000.0,25.7,25.1,39.08,40.88,,269000.0,37.53
2023-08-03,270000.0,255000.0,25.5,25.0,38.03,39.65,,266000.0,37.53
2023-08-04,270000.0,255000.0,25.5,24.8,38.03,39.65,1900000.0,262500.0,37.53
2023-08-07,265000.0,250000.0,25.0,24.3,38.15,38.25,,256500.0,37.53
2023-08-08,265000.0,250000.0,24.7,24.0,38.15,38.25,,253000.0,37.33
2023-08-09,265000.0,250000.0,24.5,23.6,38.0,38.1,,249000.0,37.33
2023-08-10,265000.0,250000.0,24.2,23.6,38.0,38.1,,247000.0,37.33
2023-08-11,260000.0,248000.0,24.0,23.4,38.0,38.1,1830000.0,244000.0,36.35
2023-08-14,256500.0,245000.0,23.0,23.0,37.26,37.49,,239500.0,35.89
2023-08-15,256500.0,245000.0,22.5,22.5,36.92,37.03,,234000.0,35.89
2023-08-16,256500.0,245000.0,21.9,21.9,36.92,37.03,,230000.0,34.85
2023-08-17,253500.0,239000.0,21.4,21.5,36.14,36.64,,226500.0,34.85
2023-08-18,253500.0,239000.0,20.75,21.2,36.14,36.64,1750000.0,225000.0,34.42
2023-08-21,240000.0,229000.0,20.95,21.2,34.2,34.9,,225000.0,34.42
2023-08-22,240000.0,229000.0,20.95,21.0,34.7,35.4,,225000.0,34.42
2023-08-23,240000.0,229000.0,20.95,20.8,34.24,34.93,,225000.0,34.42
2023-08-24,225000.0,205000.0,20.95,20.8,34.24,34.87,,225000.0,34.42
2023-08-25,225000.0,205000.0,20.65,20.5,34.24,34.87,1670000.0,223000.0,34.42
2023-08-28,223000.0,202000.0,20.45,20.2,34.24,34.87,,220000.0,34.42
2023-08-29,223000.0,202000.0,19.85,20.0,34.24,34.87,,214500.0,34.33
2023-08-30,223000.0,202000.0,19.35,20.0,33.3,34.68,,210500.0,34.2
2023-08-31,210000.0,190000.0,19.05,19.8,34.32,34.92,,208000.0,34.11
2023-09-01,210000.0,190000.0,19.05,19.8,29.44,34.75,1570000.0,205500.0,29.5
2023-09-04,206000.0,185000.0,19.05,19.8,29.44,30.63,,205500.0,
2023-09-05,206000.0,185000.0,18.75,19.5,29.44,30.63,,203000.0,29.5
2023-09-06,206000.0,185000.0,18.55,19.3,29.44,30.63,,200500.0,29.5
2023-09-07,203000.0,183000.0,18.4,18.7,29.21,30.38,,199000.0,29.1
2023-09-08,203000.0,183000.0,18.3,18.5,28.69,29.52,1550000.0,197500.0,29.1
2023-09-11,197500.0,180000.0,18.05,18.2,28.69,29.52,,194000.0,28.74
2023-09-12,197500.0,180000.0,17.85,18.2,28.36,29.19,,191000.0,28.4
2023-09-13,197500.0,180000.0,17.65,17.95,28.11,28.94,,189000.0,28.4
2023-09-14,185000.0,172000.0,17.55,17.85,28.11,29.17,,188500.0,28.12
2023-09-15,185000.0,172000.0,17.25,17.65,27.9,28.95,1540000.0,185500.0,27.86
2023-09-18,181000.0,171000.0,17.05,17.55,27.7,28.95,,183000.0,27.86
2023-09-19,181000.0,171000.0,16.75,17.35,27.4,28.62,,180000.0,27.86
2023-09-20,181000.0,171000.0,16.55,17.05,27.4,28.62,,176500.0,27.48
2023-09-21,173000.0,167000.0,16.55,17.05,27.08,28.44,,173500.0,27.24
2023-09-22,173000.0,167000.0,,17.05,26.9,28.44,1440000.0,172000.0,27.24
2023-09-25,173000.0,167000.0,,16.75,26.84,28.25,,171000.0,27.24
2023-09-26,173000.0,167000.0,,16.45,26.84,28.16,,170000.0,27.24
2023-09-27,173000.0,167000.0,,16.25,26.84,28.16,,169000.0,27.2
2023-09-28,173000.0,167000.0,,16.25,26.81,28.05,1340000.0,169000.0,27.15
2023-09-29,,,,,,,,,27.15
2023-10-02,,,,,28.2,28.88,,,24.5
2023-10-03,,,,,27.03,27.5,,,24.5
2023-10-04,,,,,27.03,27.48,,,24.5
2023-10-05,,,,,26.58,27.0,,,24.5
2023-10-06,,,,,26.35,26.75,,,24.5
2023-10-07,,,,16.25,,,,,
2023-10-08,,,,16.25,,,,,
2023-10-09,173000.0,167000.0,,16.25,23.89,24.5,,169000.0,24.5
2023-10-10,173000.0,167000.0,,16.25,23.89,24.5,,169000.0,23.96
2023-10-11,173000.0,167000.0,,16.25,23.48,27.31,,169000.0,23.96
2023-10-12,173500.0,167000.0,,16.45,23.48,24.25,,169500.0,23.96
2023-10-13,173500.0,167000.0,,16.45,23.48,24.25,1300000.0,170500.0,23.96
2023-10-16,173500.0,167000.0,,16.45,23.48,24.25,,173000.0,23.57
2023-10-17,173500.0,167000.0,,16.45,23.12,24.05,,173000.0,23.57
2023-10-18,173500.0,167000.0,,16.45,23.12,24.05,,173500.0,23.57
2023-10-19,174000.0,167000.0,,16.4,23.12,24.05,,173500.0,23.57
2023-10-20,174000.0,167000.0,,16.4,23.12,24.05,1300000.0,172500.0,23.57
2023-10-23,172500.0,165500.0,,,23.12,24.05,,171000.0,23.55
2023-10-24,172500.0,165500.0,,16.2,23.12,24.04,,170000.0,23.55
2023-10-25,172500.0,165500.0,,16.2,23.12,24.04,,169000.0,23.55
2023-10-26,171500.0,164500.0,,16.2,23.12,23.92,,168000.0,23.55
2023-10-27,171500.0,164500.0,,16.0,22.73,23.48,1250000.0,167000.0,23.41
2023-10-30,170500.0,163500.0,,15.9,22.59,23.4,,166000.0,23.41
2023-10-31,170500.0,163500.0,,15.7,,,,165000.0,23.41
2023-11-01,170500.0,163500.0,,15.7,21.79,22.38,,164000.0,22.0
2023-11-02,169500.0,163500.0,,15.4,21.73,22.31,,163000.0,22.0
