Date;Close;Change;PCT;;;;;;
28-Aug-2019;32 600,00;0,00;0,00%;;;;;;
29-Aug-2019;32 600,00;0,00;0,00%;;;;;;
30-Aug-2019;32 600,00;0,00;0,00%;;;;;;
02-Sep-2019;34 000,00;1 400,00;4,29%;;;;;;
03-Sep-2019;34 000,00;0,00;0,00%;;;;;;
04-Sep-2019;35 000,00;1 000,00;2,94%;;;;;;
05-Sep-2019;35 500,00;500,00;1,43%;;;;;;
06-Sep-2019;35 500,00;0,00;0,00%;;;;;;
09-Sep-2019;35 500,00;0,00;0,00%;;;;;;
10-Sep-2019;35 500,00;0,00;0,00%;;;;;;
11-Sep-2019;36 500,00;1 000,00;2,82%;;;;;;
12-Sep-2019;36 500,00;0,00;0,00%;;;;;;
13-Sep-2019;36 500,00;0,00;0,00%;;;;;;
16-Sep-2019;36 500,00;0,00;0,00%;;;;;;
17-Sep-2019;36 500,00;0,00;0,00%;;;;;;
18-Sep-2019;36 500,00;0,00;0,00%;;;;;;
19-Sep-2019;37 000,00;500,00;1,37%;;;;;;
20-Sep-2019;37 000,00;0,00;0,00%;;;;;;
23-Sep-2019;37 500,00;500,00;1,35%;;;;;;
24-Sep-2019;37 500,00;0,00;0,00%;;;;;;
25-Sep-2019;37 500,00;0,00;0,00%;;;;;;
26-Sep-2019;37 500,00;0,00;0,00%;;;;;;
27-Sep-2019;37 000,00;--500,00;--1,33%;;;;;;
30-Sep-2019;36 000,00;--1 000,00;--2,70%;;;;;;
01-Oct-2019;36 000,00;0,00;0,00%;;;;;;
02-Oct-2019;36 000,00;0,00;0,00%;;;;;;
03-Oct-2019;36 000,00;0,00;0,00%;;;;;;
04-Oct-2019;34 500,00;--1 500,00;--4,17%;;;;;;
07-Oct-2019;34 500,00;0,00;0,00%;;;;;;
08-Oct-2019;34 500,00;0,00;0,00%;;;;;;
09-Oct-2019;35 250,00;750,00;2,17%;;;;;;
10-Oct-2019;36 000,00;750,00;2,13%;;;;;;
11-Oct-2019;36 000,00;0,00;0,00%;;;;;;
14-Oct-2019;36 000,00;0,00;0,00%;;;;;;
15-Oct-2019;36 000,00;0,00;0,00%;;;;;;
16-Oct-2019;36 000,00;0,00;0,00%;;;;;;
